mol,mol_atom_id,x,y,z
2,62,60.6988,104.183,75.5545
2,63,78.8706,103.452,89.4208
2,64,78.5172,102.088,89.3526
2,65,78.2392,100.974,89.331
2,66,80.1029,103.66,90.1015
2,67,81.1,103.837,90.6771
2,68,62.6363,105.225,76.9586
2,69,76.4985,102.543,88.0565
2,70,68.088,106.27,80.433
2,71,69.3038,105.932,81.6617
2,72,70.0365,105.796,83.57
2,73,71.7065,105.861,84.1264
2,74,76.716,101.224,86.2842
2,75,75.5131,100.362,85.3282
2,76,64.6663,102.007,76.6611
2,77,63.6358,103.286,76.026
2,78,65.0086,110.883,76.3772
2,79,60.563,109.777,74.3398
2,80,77.3978,109.108,87.5115
2,81,80.7775,105.869,89.4206
2,82,68.0922,107.518,81.9006
2,83,68.966,107.728,81.2839
2,84,67.1809,108.369,80.8559
2,85,66.7938,107.757,80.0414
2,86,67.8203,109.137,80.4207
2,87,65.9617,108.998,81.5218
2,88,66.2713,109.524,82.4249
2,89,65.3544,108.145,81.8246
2,90,65.0928,110.018,80.7873
2,91,64.2811,110.451,81.3723
2,92,64.652,109.515,79.9265
2,93,65.9235,111.266,80.328
2,94,65.2593,111.951,79.8003
2,95,66.6357,110.993,79.5495
2,96,66.2986,111.89,81.1391
2,97,70.0458,106.877,86.2087
2,98,69.2663,107.335,85.5999
2,99,69.443,106.853,87.7096
2,100,69.4377,107.868,88.1059
2,101,70.0616,106.242,88.3668
2,102,68.0224,106.212,87.7728
2,103,67.8675,105.308,87.183
2,104,67.3509,106.98,87.3886
2,105,67.5947,105.727,89.1791
2,106,67.9143,106.479,89.9001
2,107,68.1192,104.8,89.4103
2,108,66.0606,105.368,89.1585
2,109,65.4873,106.292,89.0852
2,110,65.888,104.988,90.1654
2,111,65.7682,104.639,88.4028
2,112,68.6723,108.447,83.0215
2,113,69.5836,107.953,83.3579
2,114,67.986,108.492,83.8671
2,115,69.142,109.842,82.5991
2,116,68.4035,110.642,82.6333
2,117,69.5236,109.915,81.5807
2,118,70.0045,110.128,83.2012
2,119,71.2439,107.792,86.145
2,120,71.8355,107.718,85.2326
2,121,71.8395,107.386,86.9625
2,122,70.7949,109.251,86.2728
2,123,70.4999,109.508,87.2904
2,124,70.019,109.574,85.5788
2,125,71.6945,109.814,86.0241
2,126,75.5534,99.8059,87.3966
2,127,74.5586,99.3931,87.5646
2,128,75.8364,100.366,88.2876
2,129,76.5674,98.654,87.3277
2,130,77.5076,99.1291,87.0476
2,131,76.322,97.9217,86.5586
2,132,76.7374,97.8454,88.6584
2,133,75.7192,97.4685,88.7545
2,134,76.9398,98.482,89.5198
2,135,77.6853,96.6719,88.4915
2,136,78.559,97.0596,87.9677
2,137,77.1941,95.9542,87.8345
2,138,78.1211,96.0811,89.8583
2,139,77.3905,95.4406,90.3523
2,140,78.3437,96.9113,90.5287
2,141,79.403,95.2114,89.7322
2,142,80.2661,95.8145,89.4505
2,143,79.276,94.4374,88.9753
2,144,79.7997,94.5508,91.0028
2,145,78.9318,93.9989,91.3638
2,146,80.0506,95.3033,91.7504
2,147,81.0307,93.6253,90.7254
2,148,81.8333,94.1009,90.1616
2,149,80.6291,92.8162,90.1154
2,150,81.4836,93.0373,92.0853
2,151,80.6486,92.7613,92.7292
2,152,82.0445,93.826,92.5869
