mol,mol_atom_id,x,y,z
2,113,138.23027762189827,103.662,67.856
2,114,138.52137762189827,104.843,66.5817
2,115,136.95717762189827,103.616,66.1702
2,116,136.31947762189827,104.148,65.4647
2,117,136.14007762189826,103.166,66.7343
2,118,137.67397762189825,102.898,65.7704
2,119,131.37377762189826,107.771,67.8804
2,120,131.55627762189826,108.566,68.6035
2,121,130.36127762189827,107.401,68.0407
2,122,131.54107762189827,108.504,66.606
2,123,130.80457762189826,109.305,66.5423
2,124,131.58227762189827,107.897,65.7017
2,125,132.54697762189826,108.917,66.6846
2,126,128.52987762189827,110.319,74.9945
2,127,128.55627762189826,109.23,74.9668
2,128,127.83907762189827,110.655,74.2213
2,129,128.11517762189825,110.832,76.4074
2,130,128.29527762189826,111.896,76.559
2,131,128.72247762189826,110.285,77.1287
2,132,126.58047762189827,110.607,76.6379
2,133,125.96667762189827,111.019,75.8371
2,134,126.24197762189826,111.045,77.5767
2,135,126.19217762189825,109.077,76.6947
2,136,126.80517762189825,108.601,77.4599
2,137,126.34837762189827,108.539,75.7598
2,138,124.73747762189826,108.824,77.0967
2,139,124.62857762189826,108.912,78.1777
2,140,124.40417762189827,107.827,76.808
2,141,123.73507762189826,109.715,76.5052
2,142,123.64107762189826,109.711,75.4193
2,143,124.01127762189826,110.724,76.8122
2,144,122.402,109.529,77.1858
2,145,122.289,109.742,78.2487
2,146,122.311,108.451,77.0508
2,147,121.304,110.287,76.4781
2,148,121.269,110.112,75.4027
2,149,121.43,111.357,76.6382
2,150,119.881,109.849,77.0124
2,151,119.885,109.932,78.0992
2,152,119.71,108.803,76.7583
2,153,118.713,110.574,76.3355
2,154,118.728,110.252,75.294
2,155,118.826,111.657,76.2977
2,156,117.716,110.22,76.5982
2,157,141.24167762189825,99.8206,73.7553
2,158,140.90307762189826,98.9665,73.1688
2,159,140.43397762189826,100.102,74.431
2,160,142.54997762189828,99.3735,74.4554
2,161,143.30847762189825,99.1596,73.7024
2,162,142.29467762189824,98.4349,74.9472
2,163,143.06077762189827,100.399,75.4988
